resource_uid,state_abbr,tract_id_alias,source_resource_id,resource_type,system_type,depth_m,n_wellsets_in_tract,res_temp_deg_c,lifetime_resource_per_wellset_mwh,dist_km,county_id
109532,ID,18738,ID032,hydrothermal,isolated system,126.0,1,51.0,3333333.333,0.0,2942
109533,ID,18738,ID036,hydrothermal,isolated system,126.0,1,54.0,3611111.111,0.0,2942
109491,ID,21662,ID039,hydrothermal,isolated system,309.0,1,58.0,3888888.889,0.0,2893
109531,ID,15244,DA052,hydrothermal,delineated area,123.0,6,35.0,355007.341,0.0,2942
109493,ID,48865,DA052,hydrothermal,delineated area,112.0,1,35.0,214192.477,0.0,2942
109314,ID,69160,DA052,hydrothermal,delineated area,101.0,1,35.0,462329.879,0.0,2942
109302,ID,39170,DA052,hydrothermal,delineated area,69.0,2,35.0,324004.309,0.0,2942
109541,ID,14322,ID065,hydrothermal,isolated system,156.0,1,40.0,2222222.222,0.0,2950
109543,ID,14322,ID179,hydrothermal,isolated system,156.0,1,82.0,6111111.111,0.0,2950
109537,ID,14322,ID058,hydrothermal,isolated system,156.0,1,78.0,5555555.556,0.0,2950
109540,ID,14322,ID063,hydrothermal,isolated system,156.0,1,54.0,3611111.111,0.0,2950
109542,ID,14322,Z137,hydrothermal,isolated system,156.0,1,131.0,10555555.556,0.0,2950
109544,ID,14322,Z109,hydrothermal,isolated system,156.0,1,95.0,9166666.667,0.0,2950
109534,ID,14322,ID052,hydrothermal,isolated system,156.0,1,54.0,3611111.111,0.0,2950
109545,ID,14322,Z131,hydrothermal,isolated system,156.0,1,125.0,17222222.222,0.0,2950
109536,ID,14322,ID056,hydrothermal,isolated system,156.0,1,77.0,5555555.556,0.0,2950
109539,ID,14322,ID062,hydrothermal,isolated system,156.0,1,37.0,1944444.444,0.0,2950
109538,ID,14322,ID059,hydrothermal,isolated system,156.0,1,64.0,4444444.444,0.0,2950
109535,ID,14322,ID054,hydrothermal,isolated system,156.0,1,64.0,4444444.444,0.0,2950
109548,ID,30956,ID108,hydrothermal,isolated system,413.0,1,36.0,1944444.444,0.0,2965
109547,ID,30956,ID107,hydrothermal,isolated system,413.0,1,54.0,3611111.111,0.0,2965
109549,ID,30956,ID109,hydrothermal,isolated system,413.0,1,61.0,4166666.667,0.0,2965
109306,ID,30956,DA049,hydrothermal,delineated area,413.0,2,59.0,759857.146,0.0,2965
